subj_id,gender,age_group,age,age_centered,trial_nr,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons
gp1-6,f,20,25,7,14,4,9,45.1,882.92,1041.46,871.69,871.69,907.67,1063.17,847.15,844.42,1634.51,126.67,1579.22,-55.3,0.35
gp1-6,f,20,25,7,15,5,10,42.48,854.99,1059.5,923.25,923.25,878.51,1079.53,900.33,897.22,1672.49,126.67,1634.42,-38.07,0.24
gp1-6,f,20,25,7,16,1,5,45.1,882.92,1041.46,871.69,871.69,885.15,1036.34,836.91,837.21,930.73,126.67,968.41,37.68,0.24
gp1-6,f,20,25,7,17,3,3,42.48,854.99,1059.5,923.25,923.25,843.87,1042.26,892.35,895.29,568.32,126.67,765.61,197.29,1.23
gp1-6,f,20,25,7,18,3,8,37.28,872.12,1045.89,937.8,937.8,886.93,1056.26,913.18,911.01,1359.98,126.67,1257.61,-102.37,0.64
gp1-6,f,20,25,7,19,1,6,37.28,872.12,1045.89,937.8,937.8,877.55,1045.26,909.59,909.08,1028.15,126.67,964.81,-63.34,0.4
gp1-7,m,20,22,4,5,4,9,37.28,872.12,1045.89,937.8,937.8,889.93,1060.23,915.26,912.91,1513.21,126.67,1684.01,170.8,1.07
gp1-7,m,20,22,4,6,4,2,42.48,854.99,1059.5,923.25,923.25,839.28,1038.96,894.41,897.62,421.13,126.67,250,-171.12,1.07
gp1-7,m,20,22,4,7,3,8,42.48,854.99,1059.5,923.25,923.25,875.4,1075.02,897.52,894.31,1486.65,126.67,1221.01,-265.64,1.66
gp1-7,m,20,22,4,8,5,1,37.28,872.12,1045.89,937.8,937.8,853.52,1024.96,915.91,918.12,183.2,126.67,282,98.8,0.62
gp1-7,m,20,22,4,9,2,4,45.1,882.92,1041.46,871.69,871.69,875.61,1027.77,837.61,839.64,723.21,126.67,701.01,-22.2,0.14
gp1-7,m,20,22,4,10,3,3,42.48,854.99,1059.5,923.25,923.25,841.7,1040.68,893.22,896.33,502.43,126.67,526,23.57,0.15
gp1-7,m,20,22,4,11,1,5,37.28,872.12,1045.89,937.8,937.8,871.13,1038.95,909.09,909.92,844.03,126.67,745.01,-99.02,0.62
gp1-7,m,20,22,4,12,5,10,45.1,882.92,1041.46,871.69,871.69,908.94,1064.91,848.5,845.9,1718.96,126.67,1345.01,-373.95,2.34
gp1-7,m,20,22,4,13,2,7,42.48,854.99,1059.5,923.25,923.25,867.22,1064.19,892.77,890.74,1174.45,126.67,1080.01,-94.44,0.59
gp1-7,m,20,22,4,14,5,10,37.28,872.12,1045.89,937.8,937.8,892.86,1064.23,917.93,915.69,1718.96,126.67,1352.01,-366.95,2.29
gp1-7,m,20,22,4,15,1,6,45.1,882.92,1041.46,871.69,871.69,892.19,1043.66,838.09,836.9,1088.51,126.67,926.01,-162.5,1.02
gp1-7,m,20,22,4,16,2,7,37.28,872.12,1045.89,937.8,937.8,882.15,1050.39,910.88,909.43,1174.45,126.67,987.01,-187.44,1.17
gp1-7,m,20,22,4,17,2,4,42.48,854.99,1059.5,923.25,923.25,849.63,1046.73,890.85,892.99,723.21,126.67,674.01,-49.2,0.31
gp1-7,m,20,22,4,18,3,3,45.1,882.92,1041.46,871.69,871.69,867.07,1021.03,840.65,843.45,502.43,126.67,628.01,125.57,0.78
gp1-7,m,20,22,4,19,1,5,45.1,882.92,1041.46,871.69,871.69,881.1,1032.53,836.88,838,844.03,126.67,957.01,112.98,0.71
gp1-8,f,60,63,45,5,4,2,42.48,854.99,1059.5,923.25,923.25,836.62,1037.12,896.02,899.22,317.64,126.67,790.67,473.03,2.96
gp1-8,f,60,63,45,6,5,10,45.1,882.92,1041.46,871.69,871.69,909.88,1066.2,849.6,847.14,1792.28,126.67,962.67,-829.61,5.19
gp1-8,f,60,63,45,7,3,3,37.28,872.12,1045.89,937.8,937.8,860.34,1030,911.6,913.87,507.5,126.67,633.33,125.83,0.79
gp1-8,f,60,63,45,8,2,4,45.1,882.92,1041.46,871.69,871.69,877.49,1029.35,837.26,839.01,765.46,126.67,934.67,169.21,1.06
gp1-8,f,60,63,45,9,5,1,42.48,854.99,1059.5,923.25,923.25,834.21,1035.47,897.81,900.86,204.29,126.67,700,495.71,3.1
gp1-8,f,60,63,45,10,3,8,42.48,854.99,1059.5,923.25,923.25,872.02,1070.35,895.17,892.25,1338.18,126.67,1186.67,-151.51,0.95
gp1-8,f,60,63,45,11,4,9,37.28,872.12,1045.89,937.8,937.8,892.07,1063.14,917.13,914.83,1654.83,126.67,1280,-374.83,2.34
gp1-8,f,60,63,45,12,1,5,45.1,882.92,1041.46,871.69,871.69,880.62,1032.09,836.91,838.12,833.57,126.67,922.67,89.09,0.56
gp1-8,f,60,63,45,13,2,7,42.48,854.99,1059.5,923.25,923.25,869.08,1066.5,893.58,891.16,1233.22,126.67,1097.33,-135.88,0.85
gp1-8,f,60,63,45,14,1,5,37.28,872.12,1045.89,937.8,937.8,870.76,1038.62,909.11,910.01,833.57,126.67,964,130.43,0.82
gp1-8,f,60,63,45,15,3,8,45.1,882.92,1041.46,871.69,871.69,901.09,1054.36,841.95,839.31,1338.18,126.67,1244,-94.18,0.59
gp1-8,f,60,63,45,16,2,4,37.28,872.12,1045.89,937.8,937.8,868.37,1036.5,909.32,910.65,765.46,126.67,868,102.54,0.64
gp1-8,f,60,63,45,17,5,10,45.1,882.92,1041.46,871.69,871.69,909.88,1066.2,849.6,847.14,1792.28,126.67,1276,-516.28,3.23
gp1-8,f,60,63,45,18,4,9,42.48,854.99,1059.5,923.25,923.25,878.26,1079.16,900.07,896.94,1654.83,126.67,1221.33,-433.49,2.71
gp1-8,f,60,63,45,19,3,3,37.28,872.12,1045.89,937.8,937.8,860.34,1030,911.6,913.87,507.5,126.67,777.33,269.83,1.69
gp1-9,f,40,46,28,5,2,7,42.48,854.99,1059.5,923.25,923.25,866.62,1063.47,892.53,890.65,1156.48,126.67,1202.29,45.81,0.29
gp1-9,f,40,46,28,6,3,8,37.28,872.12,1045.89,937.8,937.8,888.54,1058.38,914.23,911.93,1437.38,126.67,1481.14,43.77,0.27
gp1-9,f,40,46,28,7,4,2,42.48,854.99,1059.5,923.25,923.25,835.75,1036.51,896.63,899.79,279.02,126.67,393.14,114.13,0.71
gp1-9,f,40,46,28,8,1,5,37.28,872.12,1045.89,937.8,937.8,874.28,1041.94,909.16,909.35,933.21,126.67,979.43,46.22,0.29
gp1-9,f,40,46,28,9,3,3,45.1,882.92,1041.46,871.69,871.69,865.03,1019.51,841.77,844.61,437.51,126.67,520,82.49,0.52
gp1-9,f,40,46,28,10,5,10,37.28,872.12,1045.89,937.8,937.8,892.32,1063.48,917.37,915.09,1674.2,126.67,1699.43,25.23,0.16
gp1-9,f,40,46,28,11,1,6,42.48,854.99,1059.5,923.25,923.25,861.33,1057.53,891.02,890.47,1011.71,126.67,1052.57,40.86,0.26
gp1-9,f,40,46,28,12,5,1,45.1,882.92,1041.46,871.69,871.69,857.77,1014.2,847.56,849.97,106.55,126.67,308.57,202.02,1.26
gp1-9,f,40,46,28,13,2,4,42.48,854.99,1059.5,923.25,923.25,850.05,1047.07,890.78,892.85,733.75,126.67,621.71,-112.03,0.7
gp1-9,f,40,46,28,14,5,10,37.28,872.12,1045.89,937.8,937.8,892.32,1063.48,917.37,915.09,1674.2,126.67,1598.86,-75.34,0.47
gp1-9,f,40,46,28,15,2,4,45.1,882.92,1041.46,871.69,871.69,876.08,1028.15,837.51,839.48,733.75,126.67,588.57,-145.18,0.91
gp1-9,f,40,46,28,16,3,3,45.1,882.92,1041.46,871.69,871.69,865.03,1019.51,841.77,844.61,437.51,126.67,449.14,11.64,0.07
gp1-9,f,40,46,28,17,4,2,42.48,854.99,1059.5,923.25,923.25,835.75,1036.51,896.63,899.79,279.02,126.67,388.57,109.55,0.68
gp1-9,f,40,46,28,18,3,8,37.28,872.12,1045.89,937.8,937.8,888.54,1058.38,914.23,911.93,1437.38,126.67,1369.14,-68.23,0.43
gp1-9,f,40,46,28,19,5,1,37.28,872.12,1045.89,937.8,937.8,852.4,1024.15,916.91,919.03,106.55,126.67,345.14,238.59,1.49
gp1-10,f,30,39,21,5,1,5,45.1,882.92,1041.46,871.69,871.69,885.19,1036.37,836.91,837.21,931.57,126.67,988.7,57.13,0.36
gp1-10,f,30,39,21,6,3,3,37.28,872.12,1045.89,937.8,937.8,858.95,1028.95,912.27,914.6,453.56,126.67,726.69,273.12,1.71
gp1-10,f,30,39,21,7,5,10,42.48,854.99,1059.5,923.25,923.25,878.93,1080.14,900.76,897.7,1702.82,126.67,1428.89,-273.93,1.71
gp1-10,f,30,39,21,8,2,4,37.28,872.12,1045.89,937.8,937.8,863.54,1032.49,910.39,912.39,618.22,126.67,868.18,249.95,1.56
gp1-10,f,30,39,21,9,4,2,45.1,882.92,1041.46,871.69,871.69,864.77,1019.32,841.93,844.77,428.55,126.67,661.18,232.64,1.45
gp1-10,f,30,39,21,10,2,7,42.48,854.99,1059.5,923.25,923.25,871.33,1069.42,894.76,891.94,1311.9,126.67,1250.72,-61.18,0.38
gp1-10,f,30,39,21,11,5,1,45.1,882.92,1041.46,871.69,871.69,857.8,1014.22,847.53,849.94,108.19,126.67,718.83,610.64,3.82
gp1-10,f,30,39,21,12,4,9,37.28,872.12,1045.89,937.8,937.8,890.05,1060.39,915.36,913,1520.09,126.67,1355.53,-164.56,1.03
gp1-10,f,30,39,21,13,3,8,37.28,872.12,1045.89,937.8,937.8,889.21,1059.26,914.71,912.37,1472.39,126.67,1282.16,-190.22,1.19
gp1-10,f,30,39,21,14,3,3,42.48,854.99,1059.5,923.25,923.25,840.21,1039.62,893.92,897.11,453.56,126.67,792.19,338.63,2.12
gp1-10,f,30,39,21,15,2,4,45.1,882.92,1041.46,871.69,871.69,871.25,1024.24,838.85,841.38,618.22,126.67,800.05,181.83,1.14
gp1-10,f,30,39,21,16,1,6,45.1,882.92,1041.46,871.69,871.69,891.48,1042.87,837.9,836.86,1071.73,126.67,988.7,-83.02,0.52
gp1-10,f,30,39,21,17,1,5,37.28,872.12,1045.89,937.8,937.8,874.22,1041.88,909.15,909.36,931.57,126.67,978.22,46.65,0.29
gp1-10,f,30,39,21,18,5,1,42.48,854.99,1059.5,923.25,923.25,832.53,1034.32,899.29,902.16,108.19,126.67,765.99,657.8,4.11
gp1-10,f,30,39,21,19,4,2,45.1,882.92,1041.46,871.69,871.69,864.77,1019.32,841.93,844.77,428.55,126.67,755.51,326.96,2.04
gp1-11,m,30,35,17,5,3,3,42.48,854.99,1059.5,923.25,923.25,843.33,1041.87,892.54,895.54,552.6,126.67,633.11,80.52,0.5
gp1-11,m,30,35,17,6,2,4,37.28,872.12,1045.89,937.8,937.8,863.47,1032.44,910.41,912.42,615.9,126.67,748.32,132.42,0.83
gp1-11,m,30,35,17,7,4,9,37.28,872.12,1045.89,937.8,937.8,891.49,1062.35,916.59,914.26,1612.98,126.67,1652.65,39.67,0.25
gp1-11,m,30,35,17,8,5,1,45.1,882.92,1041.46,871.69,871.69,857.47,1013.98,847.88,850.25,86.57,126.67,676.32,589.75,3.69
gp1-11,m,30,35,17,9,2,7,42.48,854.99,1059.5,923.25,923.25,869.9,1067.55,893.99,891.41,1260.94,126.67,1396.33,135.39,0.85
gp1-11,m,30,35,17,10,5,10,37.28,872.12,1045.89,937.8,937.8,892.27,1063.42,917.33,915.04,1670.52,126.67,1413.61,-256.91,1.61
gp1-11,m,30,35,17,11,4,2,42.48,854.99,1059.5,923.25,923.25,835.59,1036.41,896.75,899.9,271.7,126.67,489.11,217.42,1.36
gp1-11,m,30,35,17,12,3,8,45.1,882.92,1041.46,871.69,871.69,900.48,1053.57,841.58,839.01,1317.55,126.67,1430.89,113.34,0.71
gp1-11,m,30,35,17,13,1,6,37.28,872.12,1045.89,937.8,937.8,877.61,1045.33,909.6,909.08,1029.98,126.67,1088.16,58.19,0.36
