subj_id,gender,age_group,age,age_centered,trial_nr,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons,time_taken,country,fluent_languages
3F6fEdLi,m,5,5.08,2.04,14,4,2,45.1,882.92,1041.46,871.69,871.69,864.12,1018.83,842.34,845.18,405.7,126.67,600.89,195.19,1.22,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,15,2,4,42.48,854.99,1059.5,923.25,923.25,848.26,1045.63,891.1,893.48,688.32,126.67,826.67,138.35,0.86,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,16,5,1,42.48,854.99,1059.5,923.25,923.25,832.7,1034.44,899.13,902.02,118.92,126.67,392.89,273.97,1.71,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,17,1,5,37.28,872.12,1045.89,937.8,937.8,869.35,1037.36,909.21,910.37,793.54,126.67,917.33,123.8,0.77,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,18,4,9,45.1,882.92,1041.46,871.69,871.69,905.26,1059.88,844.94,842.1,1505.13,126.67,1331.56,-173.57,1.08,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,19,5,10,42.48,854.99,1059.5,923.25,923.25,880.51,1082.46,902.58,899.77,1838.48,126.67,1425.78,-412.7,2.58,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,5,2,7,37.28,872.12,1045.89,937.8,937.8,882.83,1051.18,911.14,909.57,1197.9,126.67,1246.42,48.51,0.3,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,6,1,6,45.1,882.92,1041.46,871.69,871.69,891.2,1042.57,837.83,836.85,1065.1,126.67,1085.22,20.11,0.13,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,7,5,1,42.48,854.99,1059.5,923.25,923.25,834.89,1035.93,897.27,900.38,238.65,126.67,610.25,371.6,2.32,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,8,5,10,45.1,882.92,1041.46,871.69,871.69,909.76,1066.04,849.46,846.98,1782.36,126.67,1398.98,-383.38,2.4,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,9,3,3,37.28,872.12,1045.89,937.8,937.8,859.88,1029.65,911.81,914.1,490.14,126.67,567.08,76.94,0.48,NA,NA,NA
