subj_id,gender,age_group,age,age_centered,tom_aggregate,perspective_aggregate,desires,knowledge,content,explicit,turtle,worm,tango_mean,magnet_mean
dZmSMQ8M,m,4,4.8,0.81,4,1,1,1,0,1,0,1,1.55,2.93
vKD23sto,f,4,4.81,0.82,2,0,1,1,0,0,0,0,4.12,1.33
iria4sRX,f,4,4.62,0.63,4,2,0,1,1,0,1,1,2.5,1.25
CRKm7FvQ,m,4,4.29,0.3,3,2,0,0,0,1,1,1,1.05,0.6
WgakSmdy,f,4,4.07,0.08,6,2,1,1,1,1,1,1,3.22,1.78
Cf4UoCXE,m,4,4.68,0.69,4,2,1,0,0,1,1,1,1.46,1.41
hpxRSXSq,m,4,4.64,0.65,3,2,0,0,0,1,1,1,1,1.42
iuHz1pGi,f,4,4.5,0.51,4,2,1,1,0,0,1,1,1.4,1.02
SzrtYPWq,m,4,4.65,0.66,3,2,0,1,0,0,1,1,1.72,1.74
xYfLie2g,f,4,4.45,0.46,5,1,1,1,1,1,0,1,3.31,1.27
CyeC5mn3,m,4,4.98,0.99,6,2,1,1,1,1,1,1,2.1,1.31
yocVMb16,m,4,4.59,0.6,4,2,0,1,1,0,1,1,1.87,2.54
oVnKVi3a,m,4,4.67,0.68,4,2,1,0,0,1,1,1,1.98,2.08
H3mYoTkS,f,4,4.48,0.49,2,0,1,1,0,0,0,0,2.66,1.64
zYBpahVP,f,4,4.02,0.03,2,1,0,0,0,1,0,1,3.64,2.16
EuvR31tP,f,4,4.3,0.31,4,2,0,1,0,1,1,1,2.32,1.75
Q9poFi1M,m,4,4.17,0.18,3,2,0,1,0,0,1,1,2.44,5.41
3XTSb9Fm,m,3,3.99,0,2,1,0,1,0,0,0,1,1.96,2.94
pRJ3eK6s,m,3,3.99,0,2,2,0,0,0,0,1,1,1.63,1.19
z4pU6iqC,m,4,4.31,0.32,6,2,1,1,1,1,1,1,1.5,1.24
7pq67yYh,m,4,4.11,0.12,1,0,0,1,0,0,0,0,1.63,2.16
SnJBQhnp,f,4,4.33,0.34,2,1,0,1,0,0,0,1,2.85,3.28
7m6Wf5vG,f,4,4.83,0.84,2,0,1,1,0,0,0,0,2.49,1.19
8GzbJY9K,f,4,4.48,0.49,3,1,1,1,0,0,0,1,4.49,2.92
AAKtbeBr,f,4,4.85,0.86,3,0,1,1,0,1,0,0,1.96,1.49
hqqLsD7y,f,4,4.21,0.22,1,0,1,0,0,0,0,0,2.33,4.21
BmRFnVRW,f,4,4.45,0.46,6,2,1,1,1,1,1,1,2.43,1.81
PnQJCbaX,f,4,4.57,0.58,3,2,0,1,0,0,1,1,1.74,1.92
Uyg1ZGnP,f,4,4.38,0.39,5,2,1,1,0,1,1,1,2.06,1.62
WRrrXFPi,f,4,4.35,0.36,4,2,1,1,0,0,1,1,1.97,4.66
Cs3EhzQx,f,4,4.4,0.41,3,2,0,1,0,0,1,1,1.15,1.3
2ZvXrAYs,f,4,4.93,0.94,6,2,1,1,1,1,1,1,1.18,1.65
vbveacXy,f,4,4.29,0.3,5,2,0,1,1,1,1,1,1.38,1.69
NDfAXHnY,f,4,4.29,0.3,3,2,1,0,0,0,1,1,0.65,1.6
RYMc5s3Y,f,4,4.79,0.8,5,2,1,1,1,0,1,1,3.09,1.48
5BNhW1cv,m,4,4.86,0.87,6,2,1,1,1,1,1,1,1.23,1.72
V3wmNEu7,f,4,4.26,0.27,6,2,1,1,1,1,1,1,1.67,1.81
SPC4pZMK,m,4,4.24,0.25,2,1,0,1,0,0,0,1,3.02,5.05
LoGSMhPN,m,4,4.8,0.81,4,2,1,1,0,0,1,1,1.92,2.81
DcogJeWT,m,4,4.73,0.74,4,2,1,1,0,0,1,1,0.9,1.3
JzT36kzK,m,4,4.78,0.79,5,2,0,1,1,1,1,1,1.27,0.7
S5JneY5n,f,5,5.01,1.02,4,1,0,1,1,1,0,1,0.57,0.72
C1TpQ8is,m,4,4.57,0.58,3,1,1,0,0,1,0,1,1.59,1.7
rikp9VNi,m,4,4.81,0.82,3,1,1,0,0,1,1,0,1.5,1.5
J2fkgrgD,f,4,4.93,0.94,4,2,1,1,0,0,1,1,1.07,1.4
mqxFvbUE,m,4,4.82,0.83,2,2,0,0,0,0,1,1,1.6,1.11
bLKWm6QP,m,4,4.82,0.83,6,2,1,1,1,1,1,1,1.96,4.46
2gCcBvW4,f,4,4.73,0.74,6,2,1,1,1,1,1,1,2.36,1.52
iFbfJC1R,m,4,4.78,0.79,3,2,0,1,0,0,1,1,1.34,2.29
fUSiea3E,m,4,4.93,0.94,5,2,1,1,0,1,1,1,0.92,1.29
r965s1PR,m,4,4.61,0.62,4,2,1,0,0,1,1,1,0.94,1.05
oDpzRQUk,m,4,4.6,0.61,4,0,1,1,1,1,0,0,1.24,1.09
6UCFCeTi,m,4,4.31,0.32,3,2,1,0,0,0,1,1,1.68,1.32
WrxmMM74,f,3,4,0.01,2,1,1,0,0,0,0,1,1.23,1.28
reAUWEhr,f,4,4.52,0.53,4,2,0,1,0,1,1,1,1.99,1.98
