b_Intercept,b_age_centered,b_Iage_centeredE2,b_Iage_centeredE3,sigma,Intercept,lp__
1.19402,0.0807971,-0.00283091,0.0000259487,1.9969,1.6331,-1302.88
1.18364,0.081231,-0.0025949,0.0000216011,2.00373,1.6318,-1303.13
1.17837,0.0803916,-0.00288957,0.0000274912,2.00741,1.63025,-1302.09
1.25136,0.079036,-0.00309373,0.0000302862,2.00277,1.63137,-1302.32
1.26487,0.0781226,-0.00297674,0.000028274,2.00471,1.63301,-1302.61
1.31778,0.0765484,-0.00326703,0.0000331504,1.99996,1.63212,-1303.22
1.31083,0.07532,-0.00317495,0.0000321454,1.99848,1.63193,-1302.73
1.24791,0.0742614,-0.00269694,0.0000251663,2.00396,1.63154,-1301.31
1.25081,0.0754261,-0.00258999,0.0000225886,2.01369,1.63044,-1301.55
1.16314,0.0754155,-0.00258007,0.000024339,2.01558,1.6309,-1302.28
1.30014,0.0745816,-0.00290614,0.0000277806,2.01165,1.63339,-1302.39
1.22929,0.0760891,-0.00280431,0.0000267326,2.02845,1.63108,-1301.48
1.30792,0.0752927,-0.00303514,0.0000296261,2.02795,1.6312,-1301.97
1.23133,0.0754028,-0.0029467,0.0000296215,2.02851,1.63117,-1302.25
1.25357,0.0748788,-0.00274095,0.0000255469,2.02613,1.63003,-1300.88
1.33404,0.0744677,-0.00277713,0.0000246211,2.04187,1.62936,-1302.92
1.17059,0.0764378,-0.00275188,0.0000267937,2.06003,1.62643,-1301.27
1.21672,0.0764373,-0.00275246,0.0000257949,2.06004,1.62643,-1300.19
1.193,0.0745832,-0.00258691,0.0000240872,2.06198,1.62659,-1300.29
1.24619,0.0734859,-0.00241411,0.0000201569,2.05347,1.62359,-1299.6
1.2937,0.0727298,-0.00266537,0.0000240852,2.05664,1.62347,-1299.29
1.30537,0.0740596,-0.0028424,0.0000264888,2.06683,1.62273,-1299.5
1.2872,0.0738045,-0.00289673,0.0000279943,2.06297,1.62238,-1298.85
1.32233,0.073935,-0.00296018,0.0000283417,2.07736,1.62255,-1299.81
1.18116,0.0748715,-0.00264092,0.0000250801,2.0769,1.62044,-1298.84
1.18538,0.0736417,-0.00235435,0.0000201862,2.08225,1.61764,-1297.71
1.18023,0.0733512,-0.00230119,0.0000194672,2.08082,1.61855,-1298.05
1.21808,0.0731034,-0.00251697,0.0000227273,2.07893,1.61846,-1297.52
1.23665,0.0727358,-0.00270974,0.0000260208,2.08997,1.61758,-1297.54
1.23694,0.0723061,-0.00248603,0.0000220546,2.08691,1.61649,-1297.08
1.2212,0.0713313,-0.00245244,0.0000222013,2.08951,1.61597,-1296.77
1.2532,0.0717907,-0.00242614,0.0000207926,2.09568,1.6151,-1297.28
1.29071,0.0693437,-0.00275427,0.0000270933,2.09577,1.61428,-1296.39
1.291,0.0688248,-0.00271984,0.0000266791,2.09216,1.61414,-1296.13
1.37539,0.0677615,-0.00268288,0.0000245838,2.10697,1.61236,-1298
1.37733,0.0657703,-0.00275616,0.0000267236,2.07949,1.60991,-1295.28
1.27286,0.065766,-0.00275668,0.0000290216,2.07947,1.6099,-1295.45
1.27649,0.0654622,-0.00226861,0.0000201006,2.0852,1.61113,-1294.51
1.16596,0.0641495,-0.0021235,0.0000204227,2.08921,1.61098,-1296.59
1.14879,0.0635757,-0.00194261,0.0000176933,2.07027,1.60992,-1295.78
1.34099,0.0634897,-0.00217684,0.0000178488,2.0729,1.61008,-1295.71
1.33105,0.063407,-0.00241279,0.0000224553,2.07233,1.61006,-1293.77
1.21337,0.063852,-0.00203622,0.0000178388,2.06526,1.60786,-1293
1.20881,0.0638254,-0.00182054,0.0000139596,2.05753,1.60731,-1293.31
1.20881,0.0638254,-0.00182054,0.0000139596,2.05753,1.60731,-1293.31
1.18168,0.0647417,-0.00194534,0.0000164374,2.04739,1.60679,-1292.87
1.22224,0.0650363,-0.00231771,0.0000222656,2.04211,1.60577,-1292.08
1.23642,0.0648945,-0.0023856,0.0000232948,2.03753,1.60688,-1292.34
1.23482,0.0646228,-0.00252945,0.0000261,2.03035,1.60669,-1293.33
1.36237,0.0617835,-0.00231001,0.0000205635,2.02511,1.60863,-1293.3
1.33366,0.0615685,-0.00222911,0.0000197814,2.03283,1.60801,-1292.43
1.26579,0.0616278,-0.00215666,0.0000198948,2.03667,1.60758,-1291.66
1.18047,0.0581447,-0.00167761,0.0000145169,2.03092,1.60962,-1293.95
1.25764,0.0558397,-0.00221645,0.0000238465,2.03522,1.61213,-1295.73
1.33295,0.0572435,-0.00207588,0.0000189909,2.04286,1.61256,-1292.91
1.22002,0.0571452,-0.00177028,0.0000158148,2.05087,1.6101,-1293.33
1.28734,0.0546151,-0.00159567,0.0000122299,2.05279,1.60944,-1292.59
1.32583,0.0576538,-0.00201215,0.0000177367,2.03178,1.61018,-1292.21
1.25123,0.0591359,-0.00173091,0.0000135033,2.03077,1.60927,-1292.68
1.18924,0.0599534,-0.00139384,0.00000826216,2.01776,1.60849,-1294.5
1.32042,0.061789,-0.00169712,0.0000101567,1.98362,1.60787,-1298.27
1.30142,0.0617381,-0.00178501,0.0000122167,1.98364,1.60788,-1295.21
1.29536,0.0606486,-0.00186147,0.000014235,1.9712,1.60748,-1292.97
1.37438,0.0606268,-0.00258543,0.0000258446,1.97992,1.60633,-1291.55
1.26063,0.0618632,-0.00196743,0.0000163543,1.992,1.60493,-1290.89
1.26316,0.0622831,-0.00197244,0.0000162012,2.00034,1.60475,-1291.04
1.20228,0.0608345,-0.00184677,0.0000158212,2.00003,1.60304,-1290.52
1.35084,0.0606302,-0.00244717,0.0000237252,2.0039,1.60255,-1289.88
1.39866,0.0611457,-0.00281238,0.0000291902,1.9949,1.60271,-1291.27
