b_Intercept,b_age_centered,sigma,Intercept,lp__
-0.318546,-0.000676387,0.444255,-0.33227,-205.438
-0.269203,-0.002423,0.451759,-0.318367,-205.096
-0.288895,-0.00104717,0.443281,-0.310143,-204.538
-0.286961,-0.000906815,0.445698,-0.305361,-204.936
-0.282488,-0.00135931,0.441244,-0.310069,-204.255
-0.269077,-0.00192701,0.435053,-0.308178,-204.31
-0.271491,-0.00120462,0.442727,-0.295934,-205.08
-0.255318,-0.00225121,0.457861,-0.300997,-205.98
-0.262912,-0.00245177,0.456405,-0.31266,-205.621
-0.296981,-0.00178469,0.442115,-0.333194,-204.646
-0.311403,-0.00100688,0.446857,-0.331833,-205.093
-0.307956,-0.000831109,0.436717,-0.32482,-204.817
-0.279974,-0.00261843,0.437572,-0.333104,-205.321
-0.307203,-0.00120124,0.436846,-0.331577,-204.716
-0.299063,-0.00214398,0.440982,-0.342566,-205.534
-0.308474,-0.00115172,0.446087,-0.331843,-204.919
-0.264152,-0.00226593,0.423012,-0.310129,-205.447
-0.263196,-0.00311074,0.423355,-0.326316,-206.995
-0.265237,-0.00301986,0.424404,-0.326513,-206.648
-0.268303,-0.00274519,0.425158,-0.324005,-205.902
-0.249575,-0.00250848,0.445222,-0.300474,-205.22
-0.260569,-0.00191387,0.425591,-0.299403,-205.386
-0.259072,-0.00194651,0.426077,-0.298568,-205.406
-0.280485,-0.0014558,0.411244,-0.310024,-207.377
-0.292858,-0.00179152,0.469526,-0.329209,-207.491
-0.272263,-0.00282701,0.416257,-0.329626,-207.696
-0.265702,-0.00170165,0.458463,-0.300229,-205.858
-0.286385,-0.000664938,0.446677,-0.299877,-205.593
-0.279219,-0.00166822,0.444449,-0.313069,-204.213
-0.266052,-0.00219194,0.445797,-0.310529,-204.519
-0.28213,-0.00115193,0.43095,-0.305504,-204.78
-0.292104,-0.00123724,0.448673,-0.317208,-204.578
-0.248007,-0.00291234,0.439664,-0.3071,-205.457
-0.316177,-0.000521788,0.430099,-0.326765,-205.709
-0.275753,-0.00288685,0.434308,-0.334329,-205.966
-0.27089,-0.00214177,0.421129,-0.314349,-205.526
-0.261084,-0.00275511,0.425507,-0.316988,-205.765
-0.274283,-0.00205048,0.425325,-0.315889,-204.914
-0.288969,-0.00156153,0.452152,-0.320653,-204.749
-0.317648,-0.00101061,0.43042,-0.338154,-205.648
-0.271448,-0.0023549,0.42502,-0.319231,-205.236
-0.256123,-0.00372132,0.45973,-0.331631,-209.031
-0.268281,-0.00301991,0.461227,-0.329557,-207.397
-0.282618,-0.00107957,0.423828,-0.304523,-205.563
-0.257632,-0.00280328,0.430967,-0.314513,-205.375
-0.303368,-0.000345643,0.426628,-0.310382,-206.251
-0.291897,-0.000972445,0.42884,-0.311628,-204.934
-0.293382,-0.00131988,0.434271,-0.320163,-204.292
-0.279778,-0.00210353,0.440291,-0.32246,-204.297
-0.254652,-0.00339915,0.437917,-0.323623,-206.566
-0.282618,-0.00207878,0.435035,-0.324798,-204.398
-0.290508,-0.001846,0.45052,-0.327965,-204.823
-0.255399,-0.00225069,0.426692,-0.301067,-205.395
-0.285021,-0.00228625,0.434797,-0.331411,-204.871
-0.315276,-0.000882616,0.442146,-0.333184,-205.143
-0.31346,-0.00107444,0.445017,-0.335262,-205.152
-0.276834,-0.0029635,0.44406,-0.336966,-206.243
-0.313426,-0.000982236,0.437555,-0.333356,-205.021
-0.301098,-0.000857683,0.435407,-0.318501,-204.686
-0.261497,-0.00245963,0.430922,-0.311404,-204.874
-0.282234,-0.00141437,0.440677,-0.310932,-204.202
-0.275348,-0.00215436,0.435611,-0.319061,-204.315
-0.307854,-0.00119713,0.443698,-0.332145,-204.803
-0.289931,-0.00142303,0.437058,-0.318805,-204.155
-0.279091,-0.00170808,0.447795,-0.313749,-204.38
-0.265577,-0.00187634,0.427567,-0.30365,-204.925
-0.282957,-0.00149567,0.428146,-0.313305,-204.571
-0.272151,-0.00189001,0.44238,-0.3105,-204.222
-0.288973,-0.000977489,0.449278,-0.308807,-204.95
-0.28561,-0.00210499,0.438324,-0.328322,-204.491
-0.31466,-0.00145773,0.44945,-0.344238,-205.901
-0.236565,-0.0023545,0.453093,-0.28434,-206.936
-0.312732,-0.000385228,0.439401,-0.320548,-205.459
-0.245152,-0.00265671,0.427369,-0.299058,-205.99
-0.285022,-0.00148121,0.431853,-0.315077,-204.302
-0.30198,-0.00188481,0.422966,-0.340224,-206.257
-0.268695,-0.0025841,0.450623,-0.321128,-205.235
-0.287135,-0.00122918,0.434654,-0.312076,-204.348
-0.279052,-0.00213846,0.43793,-0.322443,-204.32
-0.306878,-0.00045222,0.435525,-0.316054,-205.354
-0.298365,-0.000807157,0.430586,-0.314743,-204.984
-0.28739,-0.00102422,0.417149,-0.308172,-206.512
-0.267986,-0.00177483,0.426278,-0.303998,-205.007
-0.302542,-0.00191321,0.440907,-0.341362,-205.292
-0.2606,-0.0020245,0.444505,-0.301679,-204.681
-0.298405,-0.000493144,0.455089,-0.308411,-206.17
-0.260978,-0.00197383,0.455735,-0.301029,-205.549
-0.265713,-0.00130301,0.438608,-0.292152,-205.29
-0.280564,-0.000781371,0.438666,-0.296419,-205.474
-0.304508,-0.00126358,0.426338,-0.330148,-205.214
-0.287378,-0.00211159,0.43276,-0.330224,-204.741
-0.300532,-0.00132928,0.440416,-0.327504,-204.416
-0.269008,-0.00191903,0.432828,-0.307947,-204.4
-0.295221,-0.00145545,0.445404,-0.324754,-204.402
-0.253538,-0.00299198,0.431192,-0.314247,-205.745
-0.252901,-0.00304258,0.431384,-0.314637,-205.842
-0.276606,-0.00217581,0.435379,-0.320755,-204.36
-0.268916,-0.00185203,0.438218,-0.306495,-204.286
-0.28449,-0.00103369,0.44047,-0.305464,-204.643
-0.296169,-0.00137292,0.45386,-0.324027,-205.046
-0.262779,-0.00199165,0.438043,-0.303191,-204.485
-0.292392,-0.000992541,0.449001,-0.312531,-204.839
-0.274383,-0.0025146,0.441644,-0.325406,-204.81
-0.268843,-0.00279524,0.441804,-0.325561,-205.252
-0.301723,-0.00159305,0.441814,-0.334047,-204.692
-0.281446,-0.00179071,0.441384,-0.31778,-204.115
-0.277362,-0.00212573,0.43593,-0.320495,-204.304
-0.273237,-0.00207243,0.442733,-0.315288,-204.257
-0.274764,-0.00118905,0.451502,-0.298891,-205.371
-0.274051,-0.00135243,0.440225,-0.301493,-204.583
-0.265465,-0.00161291,0.442881,-0.298193,-204.748
-0.262199,-0.00250857,0.438606,-0.313099,-204.65
-0.297459,-0.00248755,0.462247,-0.347933,-208.098
-0.288563,-0.0019318,0.413097,-0.327761,-207.144
-0.272591,-0.00219358,0.430597,-0.317101,-204.561
-0.303382,-0.000716393,0.430252,-0.317918,-205.147
-0.289055,-0.00141515,0.427421,-0.31777,-204.651
-0.262261,-0.00239927,0.427037,-0.310944,-205.119
-0.318113,-0.000884412,0.438311,-0.336059,-205.316
-0.281977,-0.00258589,0.433243,-0.334447,-205.5
-0.274835,-0.00294367,0.433728,-0.334565,-206.124
-0.30238,-0.000500355,0.443919,-0.312532,-205.295
-0.283965,-0.00165324,0.441227,-0.31751,-204.102
-0.303364,-0.00115052,0.434216,-0.326709,-204.595
-0.293493,-0.00130725,0.429934,-0.320018,-204.528
-0.300486,-0.000907921,0.427956,-0.318908,-205.058
-0.263819,-0.00255817,0.444415,-0.315726,-204.796
-0.258637,-0.00257162,0.425773,-0.310817,-205.488
-0.278413,-0.00182443,0.432665,-0.315433,-204.243
-0.282834,-0.00187527,0.439417,-0.320885,-204.148
-0.291491,-0.00148457,0.431879,-0.321614,-204.349
-0.279288,-0.00164295,0.441131,-0.312625,-204.125
-0.334727,0.000400393,0.435341,-0.326603,-207.866
-0.262792,-0.00276732,0.434761,-0.318943,-205.122
-0.307136,-0.00157329,0.432808,-0.339059,-205.215
-0.252169,-0.001851,0.427509,-0.289727,-206.001
-0.244343,-0.00162654,0.442246,-0.277347,-206.923
-0.274014,-0.00169566,0.449216,-0.308421,-204.577
-0.311768,-0.00136576,0.436656,-0.339481,-205.184
-0.280103,-0.00193711,0.434225,-0.319409,-204.231
-0.288964,-0.00117954,0.440466,-0.312898,-204.311
-0.283425,-0.00203967,0.426041,-0.324811,-204.972
-0.263655,-0.0020418,0.438883,-0.305085,-204.421
-0.291131,-0.000355742,0.442295,-0.298349,-206.111
-0.274364,-0.00295699,0.437389,-0.334363,-206.013
-0.271323,-0.0026123,0.434634,-0.324328,-204.978
-0.275129,-0.00120796,0.4385,-0.29964,-204.783
-0.297898,-0.00149366,0.458461,-0.328206,-205.677
-0.278306,-0.00245925,0.453178,-0.328206,-205.506
-0.298807,-0.00249868,0.419682,-0.349507,-208.383
-0.276998,-0.00234275,0.433985,-0.324535,-204.656
-0.291079,-0.000925569,0.44824,-0.30986,-204.912
-0.284596,-0.00129165,0.445264,-0.310805,-204.403
-0.308198,-0.00100949,0.433993,-0.328681,-204.828
-0.300474,-0.00112537,0.436815,-0.323308,-204.435
-0.315207,-0.000305202,0.434534,-0.321399,-205.75
-0.280174,-0.00167417,0.438854,-0.314145,-204.088
-0.291664,-0.00109984,0.432191,-0.313981,-204.539
-0.2717,-0.00202149,0.4303,-0.312717,-204.483
-0.290737,-0.00120371,0.440655,-0.315162,-204.275
-0.261045,-0.00243603,0.436541,-0.310474,-204.628
-0.26293,-0.00176113,0.436083,-0.298665,-204.705
-0.307536,-0.00167774,0.459565,-0.341578,-206.641
-0.28383,-0.00150392,0.421975,-0.314346,-205.247
-0.290414,-0.00189807,0.454215,-0.328927,-205.22
-0.275946,-0.00199494,0.449758,-0.316425,-204.58
