b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.314604,0.0118759,1.52252,0.423213,-0.314604,3.07554,-175.891,2.02003
-0.32043,0.0147144,1.70327,0.421498,-0.32043,2.78728,-175.043,1.63643
-0.291907,0.0335706,3.94047,0.406713,-0.291907,3.50396,-177.329,0.889223
-0.333596,0.01328,4.20818,0.409286,-0.333596,2.76794,-175.194,0.657752
-0.331001,0.00917087,4.03942,0.414377,-0.331001,2.79779,-174.864,0.692621
-0.307912,0.0211364,2.05056,0.424785,-0.307912,2.82496,-174.542,1.37765
-0.305985,0.0230988,1.90342,0.424088,-0.305985,2.84395,-174.733,1.49412
-0.326438,0.0295008,2.15176,0.409398,-0.326438,2.73204,-174.871,1.26968
-0.311959,0.00476535,7.27693,0.442189,-0.311959,2.4049,-178.23,0.330483
-0.311869,-0.00739595,12.4679,0.437256,-0.311869,2.32715,-180.406,0.186651
-0.354446,0.0274718,3.76628,0.421741,-0.354446,3.15693,-176.859,0.838211
-0.32474,0.039713,3.75854,0.427618,-0.32474,3.10591,-174.639,0.826362
-0.335705,0.0298845,4.55435,0.412728,-0.335705,2.70709,-174.921,0.594396
-0.299873,0.0519188,3.122,0.431996,-0.299873,2.91609,-176.18,0.934043
-0.302834,0.0630651,4.06181,0.427515,-0.302834,2.13186,-179.069,0.524854
-0.29052,0.0319339,2.52368,0.422816,-0.29052,2.85494,-175.35,1.13126
-0.299334,0.023524,2.08307,0.418206,-0.299334,2.72141,-174.892,1.30644
-0.301967,0.0143487,3.15581,0.417853,-0.301967,3.80226,-177.535,1.20484
-0.302337,0.0145242,3.06241,0.417059,-0.302337,3.55419,-176.029,1.16059
-0.312514,0.0199249,3.87703,0.428553,-0.312514,1.92989,-177.871,0.497775
-0.326445,0.0133689,3.37166,0.410733,-0.326445,2.87398,-174.515,0.852394
-0.309676,0.0606223,4.42702,0.420585,-0.309676,2.8047,-176.318,0.633543
