b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.
-0.34111,-6.14927,5.45446,0.393105,-0.34111,1.60363,3.43635,7.03768,-96.4948,0.294003,0.630008,1.29026
-0.293481,-6.92423,6.13311,0.375239,-0.293481,2.1781,3.86456,8.01042,-92.9629,0.355138,0.630115,1.3061
-0.300813,-7.60705,5.51225,0.362631,-0.300813,1.10159,2.766,7.64328,-91.8186,0.199844,0.501792,1.3866
-0.302204,-7.43592,4.7391,0.359295,-0.302204,0.5286,1.90349,6.78284,-95.4519,0.11154,0.401655,1.43125
-0.344669,-7.78147,5.94578,0.378097,-0.344669,2.54248,3.99784,8.87961,-94.3385,0.427611,0.672383,1.49343
-0.299648,-6.6417,3.02708,0.375941,-0.299648,0.808731,2.77054,6.79358,-95.6858,0.267165,0.91525,2.24427
-0.306032,-6.90467,2.65835,0.375674,-0.306032,0.506442,2.16735,6.57502,-95.979,0.19051,0.815299,2.47335
-0.323304,-6.78741,2.61336,0.370868,-0.323304,0.539187,2.53374,6.66524,-96.4683,0.20632,0.969534,2.55045
-0.339476,-9.33478,4.32678,0.373165,-0.339476,2.12897,3.33348,9.54268,-97.1916,0.492044,0.770431,2.20549
-0.342638,-8.06781,3.97158,0.379463,-0.342638,1.80319,3.75463,8.73672,-95.557,0.454022,0.945374,2.19981
-0.330756,-7.79043,5.6567,0.376848,-0.330756,1.57777,2.9719,8.04018,-91.3576,0.278921,0.525377,1.42136
-0.325616,-8.01613,5.01546,0.374053,-0.325616,1.10883,2.42055,7.81449,-92.2765,0.221082,0.482617,1.55808
-0.296865,-8.90048,3.45749,0.385295,-0.296865,0.479679,2.32422,8.09498,-95.7459,0.138736,0.672228,2.34128
-0.306991,-7.15552,4.80348,0.373676,-0.306991,1.39867,2.97841,7.5178,-91.3237,0.291178,0.620053,1.56507
-0.3317,-7.02313,3.67356,0.378247,-0.3317,1.83588,3.64575,7.91412,-93.3071,0.499755,0.992429,2.15435
-0.330417,-7.21124,3.42893,0.379543,-0.330417,1.72962,3.35597,7.80192,-93.0371,0.50442,0.978724,2.27532
-0.321766,-8.31563,2.35901,0.377323,-0.321766,0.694291,2.37968,7.75369,-95.821,0.294314,1.00876,3.28684
-0.340639,-8.67035,3.84973,0.393329,-0.340639,1.27126,3.03012,8.6641,-96.3016,0.330221,0.787099,2.25057
-0.290133,-6.57273,2.48717,0.358205,-0.290133,1.78919,3.2755,7.25833,-99.2731,0.719366,1.31696,2.91831
-0.288425,-6.54375,2.5804,0.35665,-0.288425,1.91615,3.48343,7.5893,-100.043,0.742581,1.34996,2.94114
-0.342165,-7.74311,4.04172,0.401241,-0.342165,1.74556,3.16953,7.99103,-97.9395,0.431885,0.784204,1.97714
-0.314316,-6.68733,3.76072,0.3588,-0.314316,1.68429,3.5007,7.45751,-93.9446,0.447863,0.930861,1.983
