b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.325952,0.0287585,4.06542,0.399733,-0.325952,2.80178,-175.656,0.689174
-0.311784,0.0244635,2.81807,0.427815,-0.311784,2.85296,-174.091,1.01238
-0.317138,0.0263318,5.44564,0.410738,-0.317138,3.15767,-174.439,0.579853
-0.314406,0.0188319,2.27108,0.432561,-0.314406,2.7457,-174.874,1.20898
-0.330399,0.0209114,5.99586,0.409429,-0.330399,2.75553,-175.042,0.459573
-0.330482,0.015355,3.83047,0.40996,-0.330482,2.78198,-174.768,0.726277
-0.303971,0.0338997,3.28861,0.40578,-0.303971,3.50425,-176.553,1.06557
-0.327461,0.00420653,2.80768,0.419924,-0.327461,3.06182,-175.014,1.09052
-0.30545,0.0430324,8.39901,0.425516,-0.30545,2.98507,-175.631,0.355407
-0.327897,0.0060462,7.81563,0.418717,-0.327897,2.89832,-175.524,0.370836
-0.293209,0.0146623,3.31848,0.42413,-0.293209,2.75755,-175.172,0.830969
-0.33842,0.0429942,5.3799,0.411057,-0.33842,3.05424,-175.959,0.567714
-0.303081,0.00429798,5.09748,0.429975,-0.303081,3.0417,-175.51,0.596707
-0.341194,0.0476907,2.39568,0.420159,-0.341194,2.89064,-176.201,1.20661
-0.33009,0.0516737,2.64005,0.41905,-0.33009,2.66434,-175.722,1.0092
-0.333203,0.0539448,2.70529,0.415343,-0.333203,2.7469,-176.156,1.01538
-0.311791,0.0346247,2.90012,0.40923,-0.311791,2.90192,-174.39,1.00062
-0.305561,0.00686356,3.96749,0.431042,-0.305561,2.92564,-175.098,0.737402
-0.32927,-0.00394631,3.2607,0.438073,-0.32927,3.03418,-176.964,0.930529
-0.325221,-0.0131484,2.78272,0.438236,-0.325221,3.2248,-178.348,1.15887
-0.321727,0.00344913,2.40334,0.429424,-0.321727,2.7166,-175.498,1.13034
-0.312522,0.0358539,3.23389,0.425511,-0.312522,3.00726,-174.122,0.929922
-0.292686,0.00375953,3.86494,0.427174,-0.292686,3.04525,-175.972,0.787917
-0.338937,0.0316119,3.38713,0.411174,-0.338937,2.70212,-175.261,0.79776
-0.296117,0.0241938,1.92246,0.424018,-0.296117,3.03046,-175.444,1.57635
-0.334718,0.0263057,4.63913,0.418731,-0.334718,2.42115,-175.438,0.521898
-0.322969,-0.00150231,5.10801,0.424139,-0.322969,3.18896,-175.648,0.624307
-0.316668,0.0514089,2.95111,0.406424,-0.316668,3.02739,-176.009,1.02585
