b_Intercept,b_age_centered,b_Iage_centeredE2,sigma,Intercept,lp__
-0.0208921,-0.0320641,0.000436413,0.448872,-0.303689,-176.443
-0.123239,-0.0246716,0.000358672,0.426931,-0.321556,-171.94
-0.111194,-0.0246552,0.00034392,0.426909,-0.321611,-171.681
-0.135505,-0.0236942,0.000353042,0.428575,-0.318735,-173.206
-0.0526613,-0.0312832,0.000452674,0.41727,-0.305907,-172.169
-0.10088,-0.0235155,0.000318957,0.409862,-0.30921,-172.996
-0.11947,-0.0216597,0.000312457,0.407287,-0.295623,-174.386
-0.0949959,-0.0238303,0.000349799,0.406152,-0.283721,-175.349
-0.0613846,-0.0300453,0.000437459,0.414769,-0.302336,-172.261
-0.0724874,-0.0311542,0.000431248,0.436049,-0.341174,-174.132
-0.123691,-0.0282974,0.000421462,0.431763,-0.342659,-174.529
-0.111421,-0.0234511,0.000342029,0.413835,-0.299,-172.926
-0.0455954,-0.0322033,0.000446325,0.403428,-0.322863,-173.621
-0.0958637,-0.0234812,0.000322075,0.435501,-0.300871,-173.525
-0.0953441,-0.0241306,0.000350596,0.433543,-0.28949,-173.944
-0.145482,-0.0218012,0.000315196,0.423485,-0.322199,-172.82
-0.091574,-0.0268074,0.000382195,0.417582,-0.313402,-170.967
-0.0867145,-0.0267392,0.000380683,0.420527,-0.308434,-171.071
-0.0817126,-0.0265057,0.000365528,0.412393,-0.311467,-171.576
-0.0769868,-0.0273942,0.000380148,0.421889,-0.312449,-171.192
-0.0801264,-0.027358,0.000382868,0.421932,-0.312559,-171.031
-0.123542,-0.0247618,0.000355664,0.411055,-0.326225,-171.876
-0.0479489,-0.0313987,0.000446833,0.426489,-0.308462,-171.937
-0.0983174,-0.0253766,0.00036986,0.43302,-0.30151,-172.725
-0.0695151,-0.0282381,0.000400302,0.431411,-0.305113,-171.747
-0.0913272,-0.0246852,0.000355184,0.433906,-0.292861,-173.305
-0.086824,-0.0271427,0.000404557,0.42751,-0.296609,-173.562
-0.0129096,-0.0335294,0.000451642,0.427071,-0.312604,-175.055
-0.0296732,-0.0335272,0.00047147,0.427082,-0.312612,-172.9
-0.0459149,-0.0335569,0.000491274,0.427103,-0.312765,-173.822
-0.0291661,-0.0335506,0.000471239,0.427074,-0.312773,-172.929
-0.039705,-0.0320764,0.000450547,0.42381,-0.31084,-172.076
-0.0670306,-0.0283243,0.000392902,0.428596,-0.310615,-171.602
-0.108525,-0.0242626,0.000350815,0.40397,-0.305166,-172.97
-0.100097,-0.0237984,0.000336184,0.401818,-0.299649,-173.562
-0.118559,-0.0255106,0.000357802,0.412602,-0.334634,-172.018
-0.123954,-0.0253656,0.000361147,0.412458,-0.334267,-172.004
-0.0464149,-0.0318076,0.000448628,0.41338,-0.313712,-171.955
-0.0372857,-0.031768,0.000438633,0.424569,-0.312203,-172.418
-0.115889,-0.0253485,0.000362204,0.40014,-0.324964,-172.941
